parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,zone,x,y,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:3_x:1750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,3,,1750.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:4_x:2250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,4,,2250.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:5_x:2750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,5,,2750.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:6_x:3250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,6,,3250.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:7_x:3750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,7,,3750.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:8_x:4250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,8,8,,4250.00,6250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:0_x:250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,0,,250.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:1_x:750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,1,,750.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:2_x:1250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,2,,1250.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:3_x:1750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,3,,1750.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:4_x:2250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,4,,2250.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:5_x:2750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,5,,2750.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:6_x:3250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,6,,3250.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:7_x:3750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,7,,3750.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:8_x:4250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,9,8,,4250.00,5750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:0_x:250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,10,0,,250.00,5250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:1_x:750.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,10,1,,750.00,5250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:2_x:1250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,10,2,,1250.00,5250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:3_x:1750.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,10,3,,1750.00,5250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:4_x:2250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,10,4,,2250.00,5250.00,0.0,-0.3010299956639812,0.3010299956639812
